"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
2.6,0.4,0,0.54131,2.2363e-06,0,-0.72231
2.7,0.4,0,0.54131,1.619e-06,0,-0.71258
2.8,0.4,0,0.54131,1.175e-06,0,-0.70285
2.9,0.4,0,0.54131,8.6208e-07,0,-0.69312
3,0.4,0,0.54131,6.4367e-07,0,-0.68339
3.1,0.4,0,0.54131,4.9129e-07,0,-0.67366
3.2,0.4,0,0.54131,3.8414e-07,0,-0.66393
3.3,0.4,0,0.54131,3.075e-07,0,-0.65419
3.4,0.4,0,0.54131,2.5117e-07,0,-0.64446
3.5,0.4,0,0.54131,2.0839e-07,0,-0.63473
3.6,0.4,0,0.54131,1.7488e-07,0,-0.625
3.7,0.4,0,0.54131,1.4789e-07,0,-0.61527
3.8,0.4,0,0.54131,1.2551e-07,0,-0.60554
3.9,0.4,0,0.54131,1.0658e-07,0,-0.59581
4,0.4,0,0.54131,9.047e-08,0,-0.58608
4.1,0.4,0,0.54131,7.6768e-08,0,-0.57635
4.2,0.4,0,0.54131,6.5027e-08,0,-0.56662
4.3,0.4,0,0.54131,5.4963e-08,0,-0.55689
4.4,0.4,0,0.54131,4.6472e-08,0,-0.54716
4.5,0.4,0,0.54131,3.9436e-08,0,-0.53743
4.6,0.4,0,0.54131,3.3558e-08,0,-0.5277
4.7,0.4,0,0.54131,2.862e-08,0,-0.51797
4.8,0.4,0,0.54131,2.4534e-08,0,-0.50824
4.9,0.4,0,0.54131,2.1179e-08,0,-0.49851
5,0.4,0,0.54131,1.8258e-08,0,-0.48878
5.1,0.4,0,0.54131,1.5566e-08,0,-0.47905
5.2,0.4,0,0.54131,1.3056e-08,0,-0.46932
5.3,0.4,0,0.54131,1.0682e-08,0,-0.45959
5.4,0.4,0,0.54131,8.2433e-09,0,-0.44986
5.5,0.4,0,0.54131,5.6754e-09,0,-0.44013
5.6,0.4,0,0.54131,3.0715e-09,0,-0.4304
5.7,0.4,0,0.54131,5.6079e-10,0,-0.42067
5.8,0.4,0,0.54131,-1.9257e-09,0,-0.41094
5.9,0.4,0,0.54131,-4.3257e-09,0,-0.40121
6,0.4,0,0.54131,-6.4878e-09,0,-0.39148
6.1,0.4,0,0.54131,-8.2422e-09,0,-0.38175
6.2,0.4,0,0.54131,-9.6783e-09,0,-0.37202
6.3,0.4,0,0.54131,-1.0834e-08,0,-0.36229
6.4,0.4,0,0.54131,-1.16e-08,0,-0.35256
6.5,0.4,0,0.54131,-1.2014e-08,0,-0.34283
6.6,0.4,0,0.54131,-1.189e-08,0,-0.3331
6.7,0.4,0,0.54131,-1.1089e-08,0,-0.32337
6.8,0.4,0,0.54131,-8.4679e-09,0,-0.31364
6.9,0.4,0,0.54131,-2.9803e-09,0,-0.30391
7,0.4,0,0.54131,7.1915e-09,0,-0.29418
7.1,0.4,0,0.54131,2.4713e-08,0,-0.28445
7.2,0.4,0,0.54131,5.2821e-08,0,-0.27472
7.3,0.4,0,0.54131,9.7324e-08,0,-0.26499
7.4,0.4,0,0.54131,1.6288e-07,0,-0.25526
7.5,0.4,0,0.54131,2.5863e-07,0,-0.24553
7.6,0.4,0,0.54131,3.9372e-07,0,-0.2358
7.7,0.4,0,0.54131,5.8822e-07,0,-0.22607
7.8,0.4,0,0.54131,8.6692e-07,0,-0.21634
7.9,0.4,0,0.54131,1.3093e-06,0,-0.20661
8,0.4,0,0.54131,1.9546e-06,0,-0.19688
8.1,0.4,0,0.54131,3.154e-06,0,-0.18715
8.2,0.4,0,0.54132,4.6873e-06,0,-0.17742
8.3,0.4,0,0.54132,8.2528e-06,0,-0.16769
8.4,0.4,0,0.54133,1.1168e-05,0,-0.15796
8.5,0.4,0,0.54135,2.2572e-05,0,-0.14823
8.6,0.4,0,0.54134,2.4163e-05,0,-0.13851
8.7,0.4,0,0.54145,6.3952e-05,0,-0.12877
8.8,0.4,0,0.54132,4.4203e-05,0,-0.11907
8.9,0.4,0,0.54175,0.00018303,0,-0.10929
9,0.4,0,0.5412,7.2037e-05,0,-0.099655
9.1,0.4,0,0.54249,0.00047615,0,-0.089761
9.2,0.4,0,0.54108,0.00021208,0,-0.080251
9.3,0.4,0,0.54333,0.00092569,0,-0.070181
9.4,0.4,0,0.54284,0.0011577,0,-0.060497
9.5,0.4,0,0.54141,0.0010997,0,-0.05073
9.6,0.4,0,0.55,0.0042345,0,-0.039223
9.7,0.4,0,0.5375,0.0031464,0,-0.030055
9.8,0.4,0,0.54842,0.0062254,0,-0.015406
9.9,0.4,0,0.5562,0.014875,0,-1.7926e-05
10,0.4,0,0.53726,0.017634,0,0
0,0.5,0,0.5,0,0,-0.64656
0.1,0.5,0,0,0,0,-0.71034
0.2,0.5,0,0,0,0,-0.81059
0.3,0.5,0,0,0,0,-0.85792
0.4,0.5,0,0,0,0,-0.87069
0.5,0.5,0,0,0,0,-0.87394
0.6,0.5,0,0,0,0,-0.87766
0.7,0.5,0,0,0,0,-0.88202
0.8,0.5,0,0,0,0,-0.88404
0.9,0.5,0,0,0,0,-0.88212
1,0.5,0,0,0,0,-0.87671
1.1,0.5,0,0,0,0,-0.86894
1.2,0.5,0,0,0,0,-0.85985
1.3,0.5,0,0,0,0,-0.85013
1.4,0.5,0,0,0,0,-0.84018
1.5,0.5,0,0,0,0,-0.83018
1.6,0.5,0,0,0,0,-0.82021
1.7,0.5,0,0,0,0,-0.81029
1.8,0.5,0,0,0,0,-0.80042
1.9,0.5,0,0,0,0,-0.7906
2,0.5,0,0,0,0,-0.78081
2.1,0.5,0,0,0,0,-0.77103
2.2,0.5,0,0,0,0,-0.76128
2.3,0.5,0,0,0,0,-0.75153
2.4,0.5,0,0,0,0,-0.74179
2.5,0.5,0,0,0,0,-0.73205
2.6,0.5,0,0,0,0,-0.72231
2.7,0.5,0,0,0,0,-0.71258
2.8,0.5,0,0,0,0,-0.70285
2.9,0.5,0,0,0,0,-0.69312
3,0.5,0,0,0,0,-0.68339
3.1,0.5,0,0,0,0,-0.67366
3.2,0.5,0,0,0,0,-0.66393
3.3,0.5,0,0,0,0,-0.65419
3.4,0.5,0,0,0,0,-0.64446
3.5,0.5,0,0,0,0,-0.63473
3.6,0.5,0,0,0,0,-0.625
3.7,0.5,0,0,0,0,-0.61527
3.8,0.5,0,0,0,0,-0.60554
3.9,0.5,0,0,0,0,-0.59581
4,0.5,0,0,0,0,-0.58608
4.1,0.5,0,0,0,0,-0.57635
4.2,0.5,0,0,0,0,-0.56662
4.3,0.5,0,0,0,0,-0.55689
4.4,0.5,0,0,0,0,-0.54716
4.5,0.5,0,0,0,0,-0.53743
4.6,0.5,0,0,0,0,-0.5277
4.7,0.5,0,0,0,0,-0.51797
4.8,0.5,0,0,0,0,-0.50824
4.9,0.5,0,0,0,0,-0.49851
5,0.5,0,0,0,0,-0.48878
5.1,0.5,0,0,0,0,-0.47905
5.2,0.5,0,0,0,0,-0.46932
5.3,0.5,0,0,0,0,-0.45959
5.4,0.5,0,0,0,0,-0.44986
5.5,0.5,0,0,0,0,-0.44013
5.6,0.5,0,0,0,0,-0.4304
5.7,0.5,0,0,0,0,-0.42067
5.8,0.5,0,0,0,0,-0.41094
5.9,0.5,0,0,0,0,-0.40121
6,0.5,0,0,0,0,-0.39148
6.1,0.5,0,0,0,0,-0.38175
6.2,0.5,0,0,0,0,-0.37202
6.3,0.5,0,0,0,0,-0.36229
6.4,0.5,0,0,0,0,-0.35256
6.5,0.5,0,0,0,0,-0.34283
6.6,0.5,0,0,0,0,-0.3331
6.7,0.5,0,0,0,0,-0.32337
6.8,0.5,0,0,0,0,-0.31364
6.9,0.5,0,0,0,0,-0.30391
7,0.5,0,0,0,0,-0.29418
7.1,0.5,0,0,0,0,-0.28445
7.2,0.5,0,0,0,0,-0.27472
7.3,0.5,0,0,0,0,-0.26499
7.4,0.5,0,0,0,0,-0.25526
7.5,0.5,0,0,0,0,-0.24553
7.6,0.5,0,0,0,0,-0.2358
7.7,0.5,0,0,0,0,-0.22607
7.8,0.5,0,0,0,0,-0.21634
7.9,0.5,0,0,0,0,-0.20661
8,0.5,0,0,0,0,-0.19688
8.1,0.5,0,0,0,0,-0.18715
8.2,0.5,0,0,0,0,-0.17742
8.3,0.5,0,0,0,0,-0.16769
8.4,0.5,0,0,0,0,-0.15796
8.5,0.5,0,0,0,0,-0.14824
8.6,0.5,0,0,0,0,-0.13851
8.7,0.5,0,0,0,0,-0.12879
8.8,0.5,0,0,0,0,-0.11908
8.9,0.5,0,0,0,0,-0.10934
9,0.5,0,0,0,0,-0.099671
9.1,0.5,0,0,0,0,-0.08987
9.2,0.5,0,0,0,0,-0.080294
9.3,0.5,0,0,0,0,-0.070374
9.4,0.5,0,0,0,0,-0.060754
9.5,0.5,0,0,0,0,-0.050918
9.6,0.5,0,0,0,0,-0.040237
9.7,0.5,0,0,0,0,-0.03072
9.8,0.5,0,0,0,0,-0.017459
9.9,0.5,0,0,0,0,-0.0035345
10,0.5,0,0.097547,0.0086523,0,0.00078126
0,-0.5,0.1,0.5,0,0,-0.64656
0.1,-0.5,0.1,0,0,0,-0.71033
0.2,-0.5,0.1,0,0,0,-0.81058
0.3,-0.5,0.1,0,0,0,-0.85791
0.4,-0.5,0.1,0,0,0,-0.87068
0.5,-0.5,0.1,0,0,0,-0.87393
0.6,-0.5,0.1,0,0,0,-0.87765
0.7,-0.5,0.1,0,0,0,-0.882
0.8,-0.5,0.1,0,0,0,-0.88402
0.9,-0.5,0.1,0,0,0,-0.88211
1,-0.5,0.1,0,0,0,-0.8767
1.1,-0.5,0.1,0,0,0,-0.86893
1.2,-0.5,0.1,0,0,0,-0.85984
1.3,-0.5,0.1,0,0,0,-0.85012
1.4,-0.5,0.1,0,0,0,-0.84017
1.5,-0.5,0.1,0,0,0,-0.83016
1.6,-0.5,0.1,0,0,0,-0.82019
1.7,-0.5,0.1,0,0,0,-0.81028
1.8,-0.5,0.1,0,0,0,-0.80041
1.9,-0.5,0.1,0,0,0,-0.79059
2,-0.5,0.1,0,0,0,-0.78079
2.1,-0.5,0.1,0,0,0,-0.77102
2.2,-0.5,0.1,0,0,0,-0.76127
2.3,-0.5,0.1,0,0,0,-0.75152
2.4,-0.5,0.1,0,0,0,-0.74178
2.5,-0.5,0.1,0,0,0,-0.73204
2.6,-0.5,0.1,0,0,0,-0.72231
2.7,-0.5,0.1,0,0,0,-0.71257
2.8,-0.5,0.1,0,0,0,-0.70284
2.9,-0.5,0.1,0,0,0,-0.69311
3,-0.5,0.1,0,0,0,-0.68338
3.1,-0.5,0.1,0,0,0,-0.67365
3.2,-0.5,0.1,0,0,0,-0.66392
3.3,-0.5,0.1,0,0,0,-0.65419
3.4,-0.5,0.1,0,0,0,-0.64446
3.5,-0.5,0.1,0,0,0,-0.63473
3.6,-0.5,0.1,0,0,0,-0.625
3.7,-0.5,0.1,0,0,0,-0.61527
3.8,-0.5,0.1,0,0,0,-0.60554
3.9,-0.5,0.1,0,0,0,-0.59581
4,-0.5,0.1,0,0,0,-0.58608
4.1,-0.5,0.1,0,0,0,-0.57635
4.2,-0.5,0.1,0,0,0,-0.56662
4.3,-0.5,0.1,0,0,0,-0.55689
4.4,-0.5,0.1,0,0,0,-0.54716
4.5,-0.5,0.1,0,0,0,-0.53743
4.6,-0.5,0.1,0,0,0,-0.5277
4.7,-0.5,0.1,0,0,0,-0.51797
4.8,-0.5,0.1,0,0,0,-0.50824
4.9,-0.5,0.1,0,0,0,-0.49851
5,-0.5,0.1,0,0,0,-0.48878
5.1,-0.5,0.1,0,0,0,-0.47905
5.2,-0.5,0.1,0,0,0,-0.46932
5.3,-0.5,0.1,0,0,0,-0.45959
5.4,-0.5,0.1,0,0,0,-0.44986
5.5,-0.5,0.1,0,0,0,-0.44013
5.6,-0.5,0.1,0,0,0,-0.4304
5.7,-0.5,0.1,0,0,0,-0.42067
5.8,-0.5,0.1,0,0,0,-0.41094
5.9,-0.5,0.1,0,0,0,-0.40121
6,-0.5,0.1,0,0,0,-0.39148
6.1,-0.5,0.1,0,0,0,-0.38175
6.2,-0.5,0.1,0,0,0,-0.37202
6.3,-0.5,0.1,0,0,0,-0.36229
6.4,-0.5,0.1,0,0,0,-0.35256
6.5,-0.5,0.1,0,0,0,-0.34283
6.6,-0.5,0.1,0,0,0,-0.3331
6.7,-0.5,0.1,0,0,0,-0.32337
6.8,-0.5,0.1,0,0,0,-0.31364
6.9,-0.5,0.1,0,0,0,-0.30391
7,-0.5,0.1,0,0,0,-0.29418
7.1,-0.5,0.1,0,0,0,-0.28445
7.2,-0.5,0.1,0,0,0,-0.27472
7.3,-0.5,0.1,0,0,0,-0.26499
7.4,-0.5,0.1,0,0,0,-0.25526
7.5,-0.5,0.1,0,0,0,-0.24553
7.6,-0.5,0.1,0,0,0,-0.2358
7.7,-0.5,0.1,0,0,0,-0.22607
7.8,-0.5,0.1,0,0,0,-0.21634
7.9,-0.5,0.1,0,0,0,-0.20661
8,-0.5,0.1,0,0,0,-0.19688
8.1,-0.5,0.1,0,0,0,-0.18715
8.2,-0.5,0.1,0,0,0,-0.17742
8.3,-0.5,0.1,0,0,0,-0.16769
8.4,-0.5,0.1,0,0,0,-0.15796
8.5,-0.5,0.1,0,0,0,-0.14823
8.6,-0.5,0.1,0,0,0,-0.13851
8.7,-0.5,0.1,0,0,0,-0.12878
8.8,-0.5,0.1,0,0,0,-0.11908
8.9,-0.5,0.1,0,0,0,-0.10933
9,-0.5,0.1,0,0,0,-0.099669
9.1,-0.5,0.1,0,0,0,-0.089868
9.2,-0.5,0.1,0,0,0,-0.080292
9.3,-0.5,0.1,0,0,0,-0.070372
9.4,-0.5,0.1,0,0,0,-0.060752
9.5,-0.5,0.1,0,0,0,-0.050917
9.6,-0.5,0.1,0,0,0,-0.040236
9.7,-0.5,0.1,0,0,0,-0.030719
9.8,-0.5,0.1,0,0,0,-0.017458
9.9,-0.5,0.1,0,0,0,-0.0035343
10,-0.5,0.1,0.097547,-0.0086524,0,0.0007813
0,-0.4,0.1,1,0,0,-0.71413
0.1,-0.4,0.1,0.96051,0.072866,0,-0.76395
0.2,-0.4,0.1,0.92956,0.10759,0,-0.84274
0.3,-0.4,0.1,0.85662,0.11581,0,-0.87833
0.4,-0.4,0.1,0.76302,0.108,0,-0.88348
0.5,-0.4,0.1,0.67764,0.091085,0,-0.88083
0.6,-0.4,0.1,0.61646,0.071055,0,-0.8803
0.7,-0.4,0.1,0.57983,0.051526,0,-0.88194
0.8,-0.4,0.1,0.56048,0.034785,0,-0.88261
0.9,-0.4,0.1,0.55068,0.022036,0,-0.88033
1,-0.4,0.1,0.54579,0.013202,0,-0.87507
1.1,-0.4,0.1,0.54339,0.007532,0,-0.86763
1.2,-0.4,0.1,0.54224,0.0041123,0,-0.85888
1.3,-0.4,0.1,0.5417,0.0021541,0,-0.84945
1.4,-0.4,0.1,0.54145,0.0010821,0,-0.83971
1.5,-0.4,0.1,0.54135,0.00051905,0,-0.82986
1.6,-0.4,0.1,0.54131,0.00023487,0,-0.82
1.7,-0.4,0.1,0.5413,9.741e-05,0,-0.81015
1.8,-0.4,0.1,0.5413,3.4208e-05,0,-0.80033
1.9,-0.4,0.1,0.5413,7.1302e-06,0,-0.79054
2,-0.4,0.1,0.5413,-3.1432e-06,0,-0.78076
2.1,-0.4,0.1,0.5413,-6.0418e-06,0,-0.771
2.2,-0.4,0.1,0.5413,-5.9896e-06,0,-0.76125
2.3,-0.4,0.1,0.5413,-4.963e-06,0,-0.75151
2.4,-0.4,0.1,0.54131,-3.7843e-06,0,-0.74177
2.5,-0.4,0.1,0.54131,-2.7531e-06,0,-0.73204
2.6,-0.4,0.1,0.54131,-1.9447e-06,0,-0.7223
2.7,-0.4,0.1,0.54131,-1.3474e-06,0,-0.71257
2.8,-0.4,0.1,0.54131,-9.2203e-07,0,-0.70284
2.9,-0.4,0.1,0.54131,-6.2627e-07,0,-0.69311
3,-0.4,0.1,0.54131,-4.2388e-07,0,-0.68338
3.1,-0.4,0.1,0.54131,-2.8664e-07,0,-0.67365
3.2,-0.4,0.1,0.54131,-1.9393e-07,0,-0.66392
3.3,-0.4,0.1,0.54131,-1.3111e-07,0,-0.65419
3.4,-0.4,0.1,0.54131,-8.8103e-08,0,-0.64446
3.5,-0.4,0.1,0.54131,-5.8231e-08,0,-0.63473
3.6,-0.4,0.1,0.54131,-3.7145e-08,0,-0.625
3.7,-0.4,0.1,0.54131,-2.1946e-08,0,-0.61527
3.8,-0.4,0.1,0.54131,-1.0731e-08,0,-0.60554
3.9,-0.4,0.1,0.54131,-2.3182e-09,0,-0.59581
4,-0.4,0.1,0.54131,3.9854e-09,0,-0.58608
4.1,-0.4,0.1,0.54131,8.693e-09,0,-0.57635
4.2,-0.4,0.1,0.54131,1.2162e-08,0,-0.56662
4.3,-0.4,0.1,0.54131,1.4575e-08,0,-0.55689
4.4,-0.4,0.1,0.54131,1.5991e-08,0,-0.54716
4.5,-0.4,0.1,0.54131,1.6533e-08,0,-0.53743
4.6,-0.4,0.1,0.54131,1.634e-08,0,-0.5277
4.7,-0.4,0.1,0.54131,1.5485e-08,0,-0.51797
4.8,-0.4,0.1,0.54131,1.4014e-08,0,-0.50824
4.9,-0.4,0.1,0.54131,1.2069e-08,0,-0.49851
5,-0.4,0.1,0.54131,9.8457e-09,0,-0.48878
5.1,-0.4,0.1,0.54131,7.4658e-09,0,-0.47905
5.2,-0.4,0.1,0.54131,5.0115e-09,0,-0.46932
5.3,-0.4,0.1,0.54131,2.6175e-09,0,-0.45959
5.4,-0.4,0.1,0.54131,4.4748e-10,0,-0.44986
5.5,-0.4,0.1,0.54131,-1.4627e-09,0,-0.44013
5.6,-0.4,0.1,0.54131,-3.1367e-09,0,-0.4304
5.7,-0.4,0.1,0.54131,-4.5804e-09,0,-0.42067
5.8,-0.4,0.1,0.54131,-5.7744e-09,0,-0.41094
5.9,-0.4,0.1,0.54131,-6.8277e-09,0,-0.40121
6,-0.4,0.1,0.54131,-7.894e-09,0,-0.39148
6.1,-0.4,0.1,0.54131,-9.0849e-09,0,-0.38175
6.2,-0.4,0.1,0.54131,-1.0473e-08,0,-0.37202
6.3,-0.4,0.1,0.54131,-1.2246e-08,0,-0.36229
6.4,-0.4,0.1,0.54131,-1.464e-08,0,-0.35256
6.5,-0.4,0.1,0.54131,-1.7876e-08,0,-0.34283
6.6,-0.4,0.1,0.54131,-2.219e-08,0,-0.3331
6.7,-0.4,0.1,0.54131,-2.8022e-08,0,-0.32337
6.8,-0.4,0.1,0.54131,-3.5961e-08,0,-0.31364
6.9,-0.4,0.1,0.54131,-4.6715e-08,0,-0.30391
7,-0.4,0.1,0.54131,-6.1251e-08,0,-0.29418
7.1,-0.4,0.1,0.54131,-8.1036e-08,0,-0.28445
7.2,-0.4,0.1,0.54131,-1.0821e-07,0,-0.27472
7.3,-0.4,0.1,0.54131,-1.4617e-07,0,-0.26499
7.4,-0.4,0.1,0.54131,-1.9996e-07,0,-0.25526
7.5,-0.4,0.1,0.54131,-2.791e-07,0,-0.24553
7.6,-0.4,0.1,0.54131,-3.9703e-07,0,-0.2358
7.7,-0.4,0.1,0.54131,-5.8058e-07,0,-0.22607
7.8,-0.4,0.1,0.54131,-8.6017e-07,0,-0.21634
7.9,-0.4,0.1,0.54131,-1.3214e-06,0,-0.20661
8,-0.4,0.1,0.54131,-1.9999e-06,0,-0.19688
8.1,-0.4,0.1,0.54131,-3.2367e-06,0,-0.18715
8.2,-0.4,0.1,0.54132,-4.7954e-06,0,-0.17742
8.3,-0.4,0.1,0.54132,-8.3544e-06,0,-0.16769
8.4,-0.4,0.1,0.54133,-1.1224e-05,0,-0.15796
8.5,-0.4,0.1,0.54135,-2.2551e-05,0,-0.14823
8.6,-0.4,0.1,0.54134,-2.4062e-05,0,-0.13851
8.7,-0.4,0.1,0.54145,-6.381e-05,0,-0.12877
8.8,-0.4,0.1,0.54132,-4.4092e-05,0,-0.11907
8.9,-0.4,0.1,0.54175,-0.00018302,0,-0.10929
9,-0.4,0.1,0.5412,-7.2149e-05,0,-0.099654
9.1,-0.4,0.1,0.54249,-0.00047634,0,-0.089759
9.2,-0.4,0.1,0.54108,-0.00021224,0,-0.080249
9.3,-0.4,0.1,0.54333,-0.00092574,0,-0.070179
9.4,-0.4,0.1,0.54284,-0.0011576,0,-0.060496
9.5,-0.4,0.1,0.54141,-0.0010996,0,-0.050729
9.6,-0.4,0.1,0.55,-0.0042345,0,-0.039222
9.7,-0.4,0.1,0.5375,-0.0031465,0,-0.030055
9.8,-0.4,0.1,0.54842,-0.0062256,0,-0.015405
9.9,-0.4,0.1,0.5562,-0.014875,0,-1.7768e-05
10,-0.4,0.1,0.53726,-0.017634,0,0
0,-0.3,0.1,1,0,0,-0.8212
0.1,-0.3,0.1,1.0247,0.076804,0,-0.84896
0.2,-0.3,0.1,1.0562,0.12312,0,-0.89239
0.3,-0.3,0.1,1.0619,0.14161,0,-0.90689
0.4,-0.3,0.1,1.0495,0.13997,0,-0.89772
0.5,-0.3,0.1,1.034,0.12323,0,-0.88347
0.6,-0.3,0.1,1.0242,0.098141,0,-0.87481
0.7,-0.3,0.1,1.021,0.071629,0,-0.87219
0.8,-0.3,0.1,1.0213,0.048543,0,-0.87186
0.9,-0.3,0.1,1.0228,0.030941,0,-0.87066
1,-0.3,0.1,1.0242,0.018747,0,-0.86734
1.1,-0.3,0.1,1.0251,0.01089,0,-0.8619
1.2,-0.3,0.1,1.0256,0.0061072,0,-0.85485
1.3,-0.3,0.1,1.0259,0.0033252,0,-0.84671
1.4,-0.3,0.1,1.026,0.0017659,0,-0.8379
1.5,-0.3,0.1,1.026,0.00091825,0,-0.82868
1.6,-0.3,0.1,1.026,0.00046877,0,-0.81924
1.7,-0.3,0.1,1.026,0.00023523,0,-0.80967
1.8,-0.3,0.1,1.0259,0.00011587,0,-0.80003
1.9,-0.3,0.1,1.0259,5.5719e-05,0,-0.79035
2,-0.3,0.1,1.0259,2.5815e-05,0,-0.78065
2.1,-0.3,0.1,1.0259,1.1195e-05,0,-0.77093
2.2,-0.3,0.1,1.0259,4.2266e-06,0,-0.76121
2.3,-0.3,0.1,1.0259,1.048e-06,0,-0.75148
2.4,-0.3,0.1,1.0259,-2.8403e-07,0,-0.74176
2.5,-0.3,0.1,1.0259,-7.4325e-07,0,-0.73203
2.6,-0.3,0.1,1.0259,-8.1296e-07,0,-0.7223
2.7,-0.3,0.1,1.0259,-7.2832e-07,0,-0.71257
2.8,-0.3,0.1,1.0259,-5.9904e-07,0,-0.70284
2.9,-0.3,0.1,1.0259,-4.7226e-07,0,-0.69311
3,-0.3,0.1,1.0259,-3.6481e-07,0,-0.68338
3.1,-0.3,0.1,1.0259,-2.7974e-07,0,-0.67365
3.2,-0.3,0.1,1.0259,-2.1459e-07,0,-0.66392
3.3,-0.3,0.1,1.0259,-1.6525e-07,0,-0.65419
3.4,-0.3,0.1,1.0259,-1.2779e-07,0,-0.64446
3.5,-0.3,0.1,1.0259,-9.9007e-08,0,-0.63473
3.6,-0.3,0.1,1.0259,-7.6536e-08,0,-0.625
3.7,-0.3,0.1,1.0259,-5.8626e-08,0,-0.61527
3.8,-0.3,0.1,1.0259,-4.41e-08,0,-0.60554
3.9,-0.3,0.1,1.0259,-3.2184e-08,0,-0.59581
4,-0.3,0.1,1.0259,-2.2372e-08,0,-0.58608
4.1,-0.3,0.1,1.0259,-1.4272e-08,0,-0.57635
4.2,-0.3,0.1,1.0259,-7.6571e-09,0,-0.56662
4.3,-0.3,0.1,1.0259,-2.4048e-09,0,-0.55689
4.4,-0.3,0.1,1.0259,1.5598e-09,0,-0.54716
4.5,-0.3,0.1,1.0259,4.3528e-09,0,-0.53743
4.6,-0.3,0.1,1.0259,6.0526e-09,0,-0.5277
4.7,-0.3,0.1,1.0259,6.7207e-09,0,-0.51797
4.8,-0.3,0.1,1.0259,6.4485e-09,0,-0.50824
4.9,-0.3,0.1,1.0259,5.4055e-09,0,-0.49851
5,-0.3,0.1,1.0259,3.7591e-09,0,-0.48878
5.1,-0.3,0.1,1.0259,1.6452e-09,0,-0.47905
5.2,-0.3,0.1,1.0259,-7.7564e-10,0,-0.46932
5.3,-0.3,0.1,1.0259,-3.3222e-09,0,-0.45959
5.4,-0.3,0.1,1.0259,-5.8422e-09,0,-0.44986
5.5,-0.3,0.1,1.0259,-8.2844e-09,0,-0.44013
5.6,-0.3,0.1,1.0259,-1.0599e-08,0,-0.4304
5.7,-0.3,0.1,1.0259,-1.2769e-08,0,-0.42067
5.8,-0.3,0.1,1.0259,-1.4812e-08,0,-0.41094
5.9,-0.3,0.1,1.0259,-1.6863e-08,0,-0.40121
6,-0.3,0.1,1.0259,-1.9039e-08,0,-0.39148
6.1,-0.3,0.1,1.0259,-2.1478e-08,0,-0.38175
6.2,-0.3,0.1,1.0259,-2.4338e-08,0,-0.37202
6.3,-0.3,0.1,1.0259,-2.7891e-08,0,-0.36229
6.4,-0.3,0.1,1.0259,-3.2389e-08,0,-0.35256
6.5,-0.3,0.1,1.0259,-3.8133e-08,0,-0.34283
6.6,-0.3,0.1,1.0259,-4.5513e-08,0,-0.3331
6.7,-0.3,0.1,1.0259,-5.5137e-08,0,-0.32337
6.8,-0.3,0.1,1.0259,-6.7719e-08,0,-0.31364
6.9,-0.3,0.1,1.0259,-8.4193e-08,0,-0.30391
7,-0.3,0.1,1.0259,-1.0586e-07,0,-0.29418
7.1,-0.3,0.1,1.0259,-1.3462e-07,0,-0.28445
7.2,-0.3,0.1,1.0259,-1.733e-07,0,-0.27472
7.3,-0.3,0.1,1.0259,-2.2654e-07,0,-0.26499
7.4,-0.3,0.1,1.0259,-3.0149e-07,0,-0.25526
7.5,-0.3,0.1,1.0259,-4.1111e-07,0,-0.24553
7.6,-0.3,0.1,1.0259,-5.742e-07,0,-0.2358
7.7,-0.3,0.1,1.0259,-8.2733e-07,0,-0.22607
7.8,-0.3,0.1,1.0259,-1.2154e-06,0,-0.21634
7.9,-0.3,0.1,1.0259,-1.851e-06,0,-0.2066
8,-0.3,0.1,1.0259,-2.8044e-06,0,-0.19687
8.1,-0.3,0.1,1.0259,-4.4912e-06,0,-0.18714
8.2,-0.3,0.1,1.0259,-6.7514e-06,0,-0.17741
8.3,-0.3,0.1,1.0259,-1.1473e-05,0,-0.16768
8.4,-0.3,0.1,1.0259,-1.613e-05,0,-0.15795
8.5,-0.3,0.1,1.0259,-3.0385e-05,0,-0.14821
8.6,-0.3,0.1,1.0258,-3.651e-05,0,-0.13848
8.7,-0.3,0.1,1.026,-8.3143e-05,0,-0.12872
8.8,-0.3,0.1,1.0257,-7.5835e-05,0,-0.11901
8.9,-0.3,0.1,1.0263,-0.00022929,0,-0.10917
9,-0.3,0.1,1.0252,-0.00015172,0,-0.099552
9.1,-0.3,0.1,1.0271,-0.0005879,0,-0.089477
9.2,-0.3,0.1,1.0245,-0.00038815,0,-0.080009
9.3,-0.3,0.1,1.0276,-0.0012254,0,-0.069637
9.4,-0.3,0.1,1.0256,-0.0014171,0,-0.059775
9.5,-0.3,0.1,1.0237,-0.0019014,0,-0.049944
9.6,-0.3,0.1,1.033,-0.0043554,0,-0.037281
9.7,-0.3,0.1,1.0149,-0.0038183,0,-0.028716
9.8,-0.3,0.1,1.0298,-0.0065334,0,-0.013326
9.9,-0.3,0.1,1.0282,-0.010981,0,0.0026011
10,-0.3,0.1,0.99395,-0.011779,0,0
0,-0.2,0.1,1,0,0,-0.88089
0.1,-0.2,0.1,1.018,0.045709,0,-0.89704
0.2,-0.2,0.1,1.0524,0.080404,0,-0.91954
0.3,-0.2,0.1,1.077,0.097315,0,-0.91863
0.4,-0.2,0.1,1.0919,0.099261,0,-0.89807
0.5,-0.2,0.1,1.1034,0.089237,0,-0.8743
