# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Weight field  : p
# Time          	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
12.45           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525813e+00
12.5            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525813e+00
12.55           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525815e+00
12.6            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525815e+00
12.65           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525818e+00
12.7            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525818e+00
12.75           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525819e+00
12.8            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525819e+00
12.85           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
12.9            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
12.95           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525820e+00
13              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525820e+00
13.05           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
13.1            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
13.15           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525823e+00
13.2            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525823e+00
13.25           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525820e+00
13.3            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525820e+00
13.35           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525824e+00
13.4            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525824e+00
13.45           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525820e+00
13.5            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525820e+00
13.55           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525823e+00
13.6            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525823e+00
13.65           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525824e+00
13.7            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
13.75           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
13.8            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
13.85           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
13.9            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
13.95           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.05           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.1            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.15           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.2            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.25           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.3            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.35           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.4            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.45           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.5            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.55           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.6            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.65           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.7            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.75           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.8            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.85           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.9            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
14.95           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.05           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.1            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.15           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.2            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.25           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.3            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.35           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.4            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.45           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.5            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.55           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.6            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.65           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.7            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.75           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.8            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.85           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.9            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
15.95           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.05           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.1            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.15           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.2            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.25           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.3            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.35           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.4            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.45           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.5            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.55           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.6            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.65           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.7            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.75           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.8            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.85           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.9            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
16.95           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.05           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.1            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.15           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.2            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.25           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.3            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.35           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.4            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.45           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.5            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.55           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.6            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.65           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.7            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.75           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.8            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.85           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.9            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
17.95           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.05           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.1            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.15           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.2            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.25           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.3            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.35           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.4            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.45           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.5            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.55           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.6            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.65           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.7            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.75           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.8            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.85           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.9            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
18.95           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.05           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.1            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.15           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.2            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.25           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.3            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.35           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.4            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.45           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.5            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.55           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.6            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.65           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.7            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.75           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.8            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.85           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.9            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
19.95           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
20              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525821e+00
